plntname,ra_str,ra,dec_str,dec,imdelthmag,imdeltjmag,imdeltkmag,imdeltlpmag,imangsep,imsep,imtruesep,impa,imdist,ns,glon,glat,imjmag,imhmag,imkmag,imlpmag,implnjmag,implnhmag,implnkmag,implnlpmag
51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,14.43,1.44E+01,,1.16E+01,0.449,13.2,,170.4,29.4,3,198.61262,-30.6576124,4.74,4.77,4.54,4.54,1.91E+01,19.2,,1.62E+01
51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,14.43,1.44E+01,,1.16E+01,0.449,13.2,,,29.4,3,198.61262,-30.6576124,4.74,4.77,4.54,4.54,1.91E+01,19.2,,1.62E+01
51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,14.43,,,,0.449,13.2,,171.1,29.4,3,198.61262,-30.6576124,4.74,4.77,4.54,4.54,,19.2,,
51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,,1.43E+01,,,0.453,13.2,,170.7,29.4,3,198.61262,-30.6576124,4.74,4.77,4.54,4.54,1.91E+01,,,
51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,14.5,,,,0.461,13.2,,170.6,29.4,3,198.61262,-30.6576124,4.74,4.77,4.54,4.54,,19.27,,
51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,,,,1.16E+01,0.461,13.2,,170.4,29.4,3,198.61262,-30.6576124,4.74,4.77,4.54,4.54,,,,1.62E+01
HIP 65426 b,13:24:36.10,201.150406,-51:30:16.1,-51.5044594,11.14,1.27E+01,1.00E+01,,0.83,92.5,,150,111.4,1,308.17875,11.0291842,6.83,6.85,6.77,,1.95E+01,17.99,1.68E+01,
HIP 65426 b,13:24:36.10,201.150406,-51:30:16.1,-51.5044594,11.14,1.27E+01,1.00E+01,,0.83,92.5,,150,111.4,1,308.17875,11.0291842,6.83,6.85,6.77,,1.95E+01,17.99,1.68E+01,
HIP 65426 b,13:24:36.10,201.150406,-51:30:16.1,-51.5044594,11.14,1.27E+01,1.00E+01,,0.83,92.5,,150,111.4,1,308.17875,11.0291842,6.83,6.85,6.77,,1.95E+01,17.99,1.68E+01,
HIP 65426 b,13:24:36.10,201.150406,-51:30:16.1,-51.5044594,11.14,1.27E+01,1.00E+01,,0.83,92.5,,150,111.4,1,308.17875,11.0291842,6.83,6.85,6.77,,1.95E+01,17.99,1.68E+01,
HIP 65426 b,13:24:36.10,201.150406,-51:30:16.1,-51.5044594,11.14,1.27E+01,1.00E+01,,0.83,92.5,,150,111.4,1,308.17875,11.0291842,6.83,6.85,6.77,,1.95E+01,17.99,1.68E+01,
HIP 65426 b,13:24:36.10,201.150406,-51:30:16.1,-51.5044594,11.14,1.27E+01,1.00E+01,,0.83,92.5,,150,111.4,1,308.17875,11.0291842,6.83,6.85,6.77,,1.95E+01,17.99,1.68E+01,
HIP 65426 b,13:24:36.10,201.150406,-51:30:16.1,-51.5044594,,,1.00E+01,,0.829,92.3,,150.1,111.4,1,308.17875,11.0291842,6.83,6.85,6.77,,,,1.68E+01,
HIP 65426 b,13:24:36.10,201.150406,-51:30:16.1,-51.5044594,11.14,1.27E+01,,,0.828,92.2,,150.1,111.4,1,308.17875,11.0291842,6.83,6.85,6.77,,1.95E+01,17.99,,
HIP 65426 b,13:24:36.10,201.150406,-51:30:16.1,-51.5044594,,,,,0.83,92.5,,150.1,111.4,1,308.17875,11.0291842,6.83,6.85,6.77,,,,,
HIP 65426 b,13:24:36.10,201.150406,-51:30:16.1,-51.5044594,,,,,0.83,92.5,,150.3,111.4,1,308.17875,11.0291842,6.83,6.85,6.77,,,,,
