pl_name,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2
55 Cnc e,2.80800000,0.00200000,-0.00200000,0,,,,,0.174000,0.127000,-0.127000,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000
55 Cnc e,0.73654740,0.00000130,-0.00000140,0,1.875,0.029,-0.029,0,0.050000,0.030000,-0.030000,0,83.590,0.470,-0.440,0,2457063.209600,0.000600,-0.000400,0,0,0.3900,0.0300,-0.0300,0,,,,,,,,,3.520000,0.010000,-0.010000,0,0.01820,0.00020,-0.00020,0,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000
55 Cnc e,0.73654780,0.00000160,-0.00000120,0,,,,,0.028000,0.022000,-0.019000,0,90.360,3.960,-4.660,0,,,,,0,,,,,,,,,,,,,,,,,,,,,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000
55 Cnc e,0.73653900,0.00000700,-0.00000700,0,1.910,0.080,-0.080,0,,,,,83.300,0.900,-0.800,0,2455733.013000,0.007000,-0.007000,0,0,0.4100,0.0500,-0.0500,0,,,,,,,,,,,,,0.01870,0.00070,-0.00070,0,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000
55 Cnc e,2.79674000,0.00010000,-0.00010000,0,,,,,0.264000,0.060000,-0.060000,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000
55 Cnc e,0.73654170,0.00000250,-0.00000280,0,,,,,,,,,85.400,2.800,-2.100,0,2455962.069700,0.001700,-0.001800,0,0,,,,,,,,,1.5840000,0.0840000,-0.0672000,0,3.523000,0.042000,-0.040000,0,0.01936,0.00079,-0.00075,0,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000
55 Cnc e,,,,,,,,,,,,,,,,,,,,,0,,,,,0.037400,0.017000,-0.017000,0,,,,,,,,,,,,,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000
55 Cnc e,0.73654450,0.00000140,-0.00000150,0,,,,,0.036000,0.034000,-0.025000,0,,,,,2456340.655000,0.008000,-0.009000,0,0,,,,,,,,,,,,,,,,,,,,,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000
55 Cnc e,0.73654582,0.00000101,-0.00000101,0,1.915,0.214,-0.214,0,,,,,,,,,2459577.776735,0.000428,-0.000428,0,0,,,,,0.037500,0.000494,-0.000494,0,1.5550160,0.0273325,-0.0273325,0,,,,,,,,,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000
55 Cnc e,0.73654740,0.00000130,-0.00000130,0,1.947,0.038,-0.038,0,,,,,,,,,,,,,0,,,,,,,,,,,,,3.520000,0.010000,-0.010000,0,0.01820,0.00020,-0.00020,0,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000
55 Cnc e,0.73654604,0.00000016,-0.00000016,0,,,,,,,,,,,,,2458723.383280,0.000140,-0.000140,0,0,,,,,,,,,,,,,,,,,,,,,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000
55 Cnc e,0.73654600,0.00000300,-0.00000300,0,2.173,0.097,-0.098,0,0.000000,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000
55 Cnc e,0.73700000,,,0,1.897,0.044,-0.046,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.01821,0.00027,-0.00029,0,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000
55 Cnc e,,,,,1.920,0.080,-0.080,0,,,,,83.000,2.000,-1.000,0,2455733.008000,0.002000,-0.002000,0,0,0.3600,0.0700,-0.0900,0,,,,,,,,,,,,,0.01870,0.00070,-0.00070,0,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000
55 Cnc e,0.73655150,0.00000150,-0.00000150,0,,,,,0.040000,0.027000,-0.027000,0,90.000,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000
55 Cnc e,0.73654000,0.00000300,-0.00000300,0,2.000,0.140,-0.140,0,,,,,90.000,3.800,-3.800,0,2455607.055620,0.000870,-0.000870,0,0,0.0000,0.2400,-0.2400,0,0.038000,0.005200,-0.005200,0,1.5792000,0.0312000,-0.0312000,0,3.611400,0.057000,-0.055200,0,0.01950,0.00130,-0.00130,0,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000
55 Cnc e,0.73654370,0.00000520,-0.00000520,0,2.080,0.160,-0.170,0,0.061000,0.065000,-0.043000,0,87.300,1.700,-2.100,0,2455568.026500,0.001500,-0.001000,0,0,0.1600,0.1300,-0.1000,0,0.041000,0.006300,-0.006300,0,1.5960000,0.0264000,-0.0456000,0,3.517000,0.041000,-0.040000,0,0.02020,0.00150,-0.00160,0,5.9508400,0.0230000,-0.0230000,4.0150000,0.0360000,-0.0360000
AU Mic b,8.46321000,0.00004000,-0.00004000,0,4.203,0.202,-0.202,0,0.100000,0.170000,-0.090000,0,,,,,2458330.391530,0.000700,-0.000680,0,1,0.1600,0.1400,-0.1100,0,,,,,3.5000000,0.6300000,-0.5900000,0,19.100000,1.800000,-1.600000,0,0.05140,0.00130,-0.00130,0,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000
AU Mic b,8.46300000,0.00000200,-0.00000200,0,4.070,0.170,-0.170,0,0.000000,,,0,89.500,0.300,-0.300,0,2458330.390510,0.000150,-0.000150,0,1,0.1800,0.1100,-0.1100,0,,,,,3.5000000,0.0800000,-0.0800000,0,19.100000,0.300000,-0.300000,0,0.04960,0.00070,-0.00070,0,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000
AU Mic b,8.46300040,0.00000580,-0.00000600,0,4.190,0.240,-0.220,0,0.120000,0.160000,-0.080000,0,89.180,0.530,-0.450,0,2458330.390800,0.000580,-0.000570,0,1,0.2600,0.1300,-0.1700,0,,,,,3.5600000,0.6000000,-0.4600000,0,18.500000,1.300000,-1.400000,0,0.05120,0.00200,-0.00200,0,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000
AU Mic b,8.46314270,,,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000
AU Mic b,8.46321000,,,0,,,,,0.000000,,,0,,,,,2458651.992750,0.000610,-0.000610,0,1,0.1800,0.0700,-0.0300,0,,,,,,,,,19.340000,0.450000,-0.590000,0,0.05140,,,0,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000
AU Mic b,,,,,4.027,0.212,-0.212,0,,,,,,,,,2459041.281746,0.000957,-0.000957,0,1,,,,,0.287229,0.021705,-0.021705,0,3.5738006,0.0698212,-0.0698212,0,,,,,,,,,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000
AU Mic b,8.46300000,0.00000200,-0.00000200,0,,,,,0.040000,0.045000,-0.025000,0,,,,,2458330.390510,0.000150,-0.000150,0,1,,,,,,,,,,,,,,,,,,,,,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000
AU Mic b,8.46321000,,,0,,,,,,,,,89.500,0.400,-0.400,0,,,,,1,,,,,,,,,,,,,,,,,,,,,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000
AU Mic b,8.46299910,,,0,,,,,0.186000,0.036000,-0.035000,0,,,,,2458330.390460,,,0,1,,,,,,,,,,,,,,,,,,,,,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000
AU Mic c,18.85882000,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,8.8100000,0.1000000,-0.1000000,4.5290000,0.0200000,-0.0200000
