pl_name,rastr,ra,decstr,dec,pl_massj,pl_masse,pl_orbsmax,st_mass,sy_dist,ml_dists,ml_tsepmin,ml_sepminnorm,ml_xtimeein,ml_radsnorm,ml_sepinsnorp,ml_massratio,ml_angstlax,ml_magis,ml_magibl,ml_radeinang,ml_pmrells,glon,glat,ml_plxrel,ml_plxmicro,ml_plxmicron,ml_plxmicroe,ml_dsdt,ml_dalphadt,ml_radsang,ml_radsphy,ml_xtimesrc,ml_efftime,ml_pms,ml_magvs,ml_magvso,ml_magiso,ml_magjs,ml_magjso,ml_maghs,ml_maghso,ml_magks,ml_magkso,ml_magibase,sy_vmag,sy_icmag,sy_jmag,sy_hmag,sy_kmag,ml_extvfld,ml_extifld,ml_extjfld,ml_exthfld,ml_extkfld
KMT-2019-BLG-1953L b,17h56m27.90s,269.11625,-28d12m04.00s,-28.201111,,,,,,8000,2458702.012,0.00236,16.18,2.4,2.3,19.1,2.5,20.68,,0.25,5.7,1.84965,-1.67021,,,,,,,0.61,,,,,,,18.39,,,,,,,,,,,,,,,,,
MOA-2013-BLG-605L b,17h58m42.85s,272.019257,-29d23m53.66s,-29.731583,0.06475,20.58,4.18,0.198,3550,,2456573.054,-0.0796,19.83,3.72,2.344,3.124,3.1568,18.112,18.588,0.503,9.03,1.76466,-4.63415,,0.312,0.289,-0.118,-0.304,0.04,1.87,,,,,,,,,,15.856,15.59,,15.6,,,,,,,,,,,
KMT-2019-BLG-1953L b,17h56m27.90s,269.11625,-28d12m04.00s,-28.201111,,,,,,8000,2458702.015,0.00104,16.02,2.41,0.41,18.2,2.433,20.68,,0.25,5.7,1.84965,-1.67021,,,,,,,0.61,,,,,,,18.39,,,,,,,,,,,,,,,,,
OGLE-2005-BLG-390L b,17h54m19.2s,268.579958,-30d22m38s,-30.377306,0.017,5.5,2.6,0.22,6600,8000,2453582.735,0.359,11.03,,1.61,0.76,2.756,,,,,359.73255,-2.36161,,,,,,,5.25,9.6,0.282,,,,,14.25,,,,,,,,,,,,,,,,,
OGLE-2012-BLG-0950L b,18h08m04.62s,272.019257,-29d43m53.7s,-29.731583,0.11,36,2.7,0.55,3400,,2456151.48,-0.1,68.5,3,0.893,1.9,1.195,19.3,,0.86,4.6,1.76466,-4.63415,,0.19,0.08,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
OGLE-2016-BLG-1067L b,18h12m49.08s,273.2045,-27d00m45.5s,-27.012639,0.43,140,1.71,0.31,3780,7660,2457564.312,-0.442,27.6,4.8,0.785,13.17,1.43,18.8,,,,4.66003,-4.25075,,,0.196,-0.054,,,0.815,,,,,,,18.01,,,,,,,,,,,,,,,,,
OGLE-2005-BLG-071L b,17h50m09.77s,267.540708,-34d40m23.5s,-34.673194,3.8,1200,3.6,0.46,3200,8600,2453480.702,0.0287,69.3,0.61,1.305,77,4.776,19.49,21.4,0.84,,355.58019,-3.78643,0.19,,-0.02,-0.22,-0.283,-1.242,,,,,,20.82,,18.31,,,,,,,,,,,,,,1.2,,,
OGLE-2018-BLG-0740L b,18h08m42.47s,272.176958,-29d50m08.9s,-29.835806,1.1,350,1.5,0.47,7200,8000,2458254.347,0.038,62.63,0.99,0.91,23,2.52,21.54,17.13,0.28,1.65,1.73882,-4.80424,0.188,,,,,,0.28,,,,,,,21.53,,,,,,,16.87,18.21,17.13,,,,,0.5,,,
OGLE-2016-BLG-1190L b,17h58m52.30s,269.717926,-27d36m48.8s,-27.613556,13.38,4253,2.17,0.88,6770,8700,2457582.157,-0.01797,93.532,0.93,0.604,144.6,0.038,,,0.49,,2.6247,-1.83687,,,0.067,0.004,-0.265,-1.536,0.455,,,,,,,19.35,,,19.06,,,,,,,,,,,,,,
OGLE-2017-BLG-0373L b,17h57m19.06s,269.329407,-31d57m06.2s,-31.951723,0.189,60.1,2.575,0.276,5810,,2457840.636,0.371,12.849,2.466,1.349,6.51,2.465,,,0.317,8.91,358.6906,-3.70602,,,,,,,0.781,,0.032,4.765,,,,18.14,,,,,,,,,,,,,,,,,
